1,"平成28年経済センサス‐活動調査　追加集計","","","","","","","","","","","","",""
2,"","","","","","","第３表　企業産業（中分類）、経営組織（５区分）別企業等数－都道府県、市区町村","","","","","","",""
3,"","","","","","","Table 3  Enterprises, etc. and , by Industry Major Groups, and Legal Organization (5 Groups), for Prefectures and Municipalities","","","","","","",""
4,"","","","","","","","","","","","","",""
5,"","","","","","","keiso5.0000","keiso5.0001","keiso5.0002","keiso5.0003","keiso5.0004","keiso5.0005","keiso5.0006","keiso5.0007"
6,"","","","","","","0","1","2","3","3","3","2","1"
7,"","","","","","","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000","jsyu3.0000"
8,"","","","","","","0","0","0","0","0","0","0","0"
9,"","","","","","","総数(経営組織)","法人","(法人)会社企業","(法人)(会社企業)株式・有限・相互会社","(法人)(会社企業)合名・合資会社","(法人)(会社企業)合同会社","(法人)会社以外の法人","個人"
10,"","","地域","","","企業産業中分類","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数","企業等数"
11,"ti.04000","1","宮城県","ksanB.0000","0","A～R 全産業（Ｓ公務を除く）",63706,30976,27087,26610,212,265,3889,32730
12,"ti.04000","1","宮城県","ksanB.0001","1","　A～B 農林漁業",520,520,359,352,3,4,161,-
13,"ti.04000","1","宮城県","ksanB.0002","2","　　A 農業，林業",438,438,290,286,3,1,148,-
14,"ti.04000","1","宮城県","ksanB.0003","4","　　　　01 農業",383,383,261,257,3,1,122,-
15,"ti.04000","1","宮城県","ksanB.0004","4","　　　　02 林業",55,55,29,29,-,-,26,-
16,"ti.04000","1","宮城県","ksanB.0005","2","　　B 漁業",82,82,69,66,-,3,13,-
17,"ti.04000","1","宮城県","ksanB.0006","4","　　　　03 漁業（水産養殖業を除く）",47,47,37,37,-,-,10,-
18,"ti.04000","1","宮城県","ksanB.0007","4","　　　　04 水産養殖業",35,35,32,29,-,3,3,-
19,"ti.04000","1","宮城県","ksanB.0008","1","　C～R 非農林漁業（Ｓ公務を除く）",63186,30456,26728,26258,209,261,3728,32730
20,"ti.04000","1","宮城県","ksanB.0009","2","　　C 鉱業，採石業，砂利採取業",26,24,24,23,-,1,-,2
21,"ti.04000","1","宮城県","ksanB.0010","4","　　　　05 鉱業，採石業，砂利採取業",26,24,24,23,-,1,-,2
22,"ti.04000","1","宮城県","ksanB.0011","2","　　D 建設業",8472,5831,5821,5790,9,22,10,2641
23,"ti.04000","1","宮城県","ksanB.0012","4","　　　　06 総合工事業",3519,2604,2596,2589,3,4,8,915
24,"ti.04000","1","宮城県","ksanB.0013","4","　　　　07 職別工事業（設備工事業を除く）",2915,1581,1580,1572,2,6,1,1334
25,"ti.04000","1","宮城県","ksanB.0014","4","　　　　08 設備工事業",2035,1643,1642,1626,4,12,1,392
26,"ti.04000","1","宮城県","ksanB.0015","2","　　E 製造業",4076,2763,2731,2699,22,10,32,1313
27,"ti.04000","1","宮城県","ksanB.0016","4","　　　　09 食料品製造業",870,619,604,595,7,2,15,251
