English,Japanese,Industry,TSE,Exchange,Source
&Do Holdings Co. Ltd.,,Real Estate Developers,3457,XTKS,1WSJ
21LADY Co. Ltd.,,Diversified Business Services,3346,XNGO,1WSJ
3-D Matrix Ltd.,,Chemicals,7777,XJAS,1WSJ
4Cs HD Co. Ltd.,,Specialty Retail,3726,XTKS,1WSJ
77 Bank,株式会社七十七銀行,,8341,,2WIKI
81 Produce,81プロデュース,,,,2WIKI
A&A Material Corp.,,Building Materials/Products,5391,XTKS,1WSJ
A&D Co. Ltd.,,Precision Products,7745,XTKS,1WSJ
A.D. Works Group Co. Ltd.,,Real Estate Developers,2982,XTKS,1WSJ
AB&Company Co. Ltd.,,Consumer Services,9251,XTKS,1WSJ
ABC-Mart Inc.,,Footwear,2670,XTKS,1WSJ
ACSL Ltd.,,Aerospace Products/Parts,6232,XTKS,1WSJ
AGC,AGC,,5201,,2WIKI
AGORA Hospitality Group Co. Ltd.,,Hotels,9704,XTKS,1WSJ
AGS Corp.,,Computer Services,3648,XTKS,1WSJ
AHC Group Inc.,,Consumer Services,7083,XTKS,1WSJ
AI Cross Inc.,,Emerging Technologies,4476,XTKS,1WSJ
AI Inc.,,Software,4388,XTKS,1WSJ
AI Inside Inc.,,Emerging Technologies,4488,XTKS,1WSJ
AIAI Group Corp.,,Consumer Services,6557,XTKS,1WSJ
AIT Corp.,,Transportation Services,9381,XTKS,1WSJ
ALPHA Corp.,,Motor Vehicle Parts,3434,XTKS,1WSJ
ALiNK Internet Inc.,,Software,7077,XTKS,1WSJ
AMAGASA Co. Ltd.,,Clothing Retail,3070,XJAS,1WSJ
AMG Holdings Co. Ltd.,,Real Estate Developers,8891,XTKS,1WSJ
ANA Holdings Inc.,,Passenger Airlines,9202,XTKS,1WSJ
ANEST IWATA,アネスト岩田株式会社,,6381,,2WIKI
AOC Holdings,AOCホールディングス株式会社,,5017,,2WIKI
AP Holdings Co. Ltd.,,Restaurants,3175,XTKS,1WSJ
ASAHI Net Inc.,,Internet/Online,3834,XTKS,1WSJ
ASIRO Inc.,,General Services,7378,XTKS,1WSJ
ASJ Inc.,,Internet/Online,2351,XTKS,1WSJ
ASKA Pharmaceutical Holdings Co. Ltd.,,Pharmaceuticals,4886,XTKS,1WSJ
ASMARQ Inc.,,Advertising/Marketing/Public Relations,4197,XTKS,1WSJ
AT-Group Co. Ltd.,,Specialty Retail,8293,XNGO,1WSJ
AWA Paper & Technological Co. Inc.,,Paper/Pulp,3896,XTKS,1WSJ
Abalance Corp.,,Diversified Holding Companies,3856,XTKS,1WSJ
Abist Co. Ltd.,,Technical Services,6087,XTKS,1WSJ
Access Co. Ltd.,,Software,4813,XTKS,1WSJ
Accrete Inc.,,Internet/Online,4395,XTKS,1WSJ
Achilles Corp.,,Chemicals,5142,XTKS,1WSJ
Acom,アコム株式会社,,8572,,2WIKI
Activia Properties Inc.,,Industrial/Office REITs,3279,XTKS,1WSJ
Ad-Sol Nissin Corp.,,Computer Services,3837,XTKS,1WSJ
Adastria Co. Ltd.,,Clothing Retail,2685,XTKS,1WSJ
Adeka Corp.,,Chemicals,4401,XTKS,1WSJ
Adjuvant Holdings Co. Ltd.,,Personal Care Products/Appliances,4929,XTKS,1WSJ
