Name,TSE,Exchange,Industry
&Do Holdings Co. Ltd.,3457,XTKS,Real Estate Developers
21LADY Co. Ltd.,3346,XNGO,Diversified Business Services
3-D Matrix Ltd.,7777,XJAS,Chemicals
4Cs HD Co. Ltd.,3726,XTKS,Specialty Retail
77 Bank Ltd.,8341,XTKS,Banking
A&A Material Corp.,5391,XTKS,Building Materials/Products
A&D Co. Ltd.,7745,XTKS,Precision Products
A.D. Works Group Co. Ltd.,2982,XTKS,Real Estate Developers
AB&Company Co. Ltd.,9251,XTKS,Consumer Services
Abalance Corp.,3856,XTKS,Diversified Holding Companies
ABC-Mart Inc.,2670,XTKS,Footwear
Abist Co. Ltd.,6087,XTKS,Technical Services
Access Co. Ltd.,4813,XTKS,Software
Accrete Inc.,4395,XTKS,Internet/Online
Achilles Corp.,5142,XTKS,Chemicals
Acom Co. Ltd.,8572,XTKS,Consumer Finance
ACSL Ltd.,6232,XTKS,Aerospace Products/Parts
Activia Properties Inc.,3279,XTKS,Industrial/Office REITs
Adastria Co. Ltd.,2685,XTKS,Clothing Retail
Adeka Corp.,4401,XTKS,Chemicals
adish Co. Ltd.,7093,XTKS,Advertising/Marketing/Public Relations
Adjuvant Holdings Co. Ltd.,4929,XTKS,Personal Care Products/Appliances
Ad-Sol Nissin Corp.,3837,XTKS,Computer Services
Adtec Plasma Technology Co. Ltd.,6668,XTKS,Networking
Advan Group Co. Ltd.,7463,XTKS,Wholesalers
Advance Create Co. Ltd.,8798,XTKS,Full-Line Insurance
Advance Residence Investment Corp.,3269,XTKS,Residential REITs
Advanced Media Inc.,3773,XTKS,Software
Advanex Inc.,5998,XTKS,Industrial Products
Advantage Risk Management Co. Ltd.,8769,XTKS,Employment/Training Services
Advantest Corp.,6857,XTKS,Semiconductors
Adventure Inc.,6030,XTKS,Tourism
Adways Inc.,2489,XTKS,Advertising/Marketing/Public Relations
Aeon Co. Ltd.,8267,XTKS,Mixed Retailing
Aeon Delight Co. Ltd.,9787,XTKS,Diversified Business Services
Aeon Fantasy Co. Ltd.,4343,XTKS,Recreational Services
Aeon Financial Service Co. Ltd.,8570,XTKS,Consumer Finance
Aeon Hokkaido Corp.,7512,XTKS,Mixed Retailing
Aeon Mall Co. Ltd.,8905,XTKS,Real Estate Developers
Aeon REIT Investment Corp.,3292,XTKS,Retail REITs
AGC Inc.,5201,XTKS,Industrial Products
Agile Media Network Inc.,6573,XTKS,Advertising/Marketing/Public Relations
AGORA Hospitality Group Co. Ltd.,9704,XTKS,Hotels
Agratio Urban Design Inc.,3467,XTKS,Real Estate Developers
Agro-Kanesho Co. Ltd.,4955,XTKS,Chemicals
AGS Corp.,3648,XTKS,Computer Services
AHC Group Inc.,7083,XTKS,Consumer Services
Ahjikan Co. Ltd.,2907,XTKS,Food Products
Ahresty Corp.,5852,XTKS,Motor Vehicle Parts
AI Cross Inc.,4476,XTKS,Emerging Technologies
Ai Holdings Corp.,3076,XTKS,Computers/Consumer Electronics
AI Inc.,4388,XTKS,Software
AI Inside Inc.,4488,XTKS,Emerging Technologies
Ai Partners Financial Inc.,7345,XTKS,Investment Advisors
AIAI Group Corp.,6557,XTKS,Consumer Services
Aica Kogyo Co. Ltd.,4206,XTKS,Building Materials/Products
Aichi Bank Ltd.,8527,XTKS,Banking
Aichi Corp.,6345,XTKS,Mobile Machinery
Aichi Electric Co. Ltd.,6623,XNGO,Industrial Electronics
Aichi Steel Corp.,5482,XTKS,Iron/Steel
Aichi Tokei Denki Co. Ltd.,7723,XTKS,Precision Products
Aida Engineering Ltd.,6118,XTKS,Industrial Machinery
Aidma Holdings Inc.,7373,XTKS,Internet/Online
Aidma Marketing Communication Corp.,9466,XTKS,Advertising/Marketing/Public Relations
Aiful Corp.,8515,XTKS,Consumer Finance
Aigan Co. Ltd.,9854,XTKS,Specialty Retail
Aimechatec Ltd.,6227,XTKS,Industrial Electronics
Aiming Inc.,3911,XTKS,Toys & Games
Ain Holdings Inc.,9627,XTKS,Drug Retail
Aiphone Co. Ltd.,6718,XTKS,Precision Products
Air Water Inc.,4088,XTKS,Chemicals
Airport Facilities Co. Ltd.,8864,XTKS,Real Estate Developers
Airtech Japan Ltd.,6291,XTKS,Building Materials/Products
AirTrip Corp.,6191,XTKS,Tourism
Aisan Industry Co. Ltd.,7283,XTKS,Motor Vehicle Parts
Aisin Corp.,7259,XTKS,Motor Vehicle Parts
AIT Corp.,9381,XTKS,Transportation Services
Aizawa Securities Group Co. Ltd.,8708,XTKS,Securities
Ajinomoto Co. Inc.,2802,XTKS,Food Products
Akasaka Diesels Ltd.,6022,XTKS,Industrial Machinery
Akatsuki Corp.,8737,XTKS,Securities
Akatsuki Inc.,3932,XTKS,Toys & Games
